,brewID,brewery,address,city,state,neighborhood,website,features,coord,coord2,inChicago,latitude,longitude,hasTapRoom,hasTour,hasKitchen,untappdURL
63,Ese6,Eris Brewery & Ciderhouse,4240 W. Irving Park Rd.,Chicago,IL,Irving Park,http://erischicago.tumblr.com,kitchen & beer,"-87.73432,41.95358",605187163.0,yes,41.95358,-87.73432,no,no,yes,https://untappd.com/Eris_Brewery_And_Cider_House
64,Et.1,Exit Strategy Brewing Co.,7700 W Madison,Forest Park,IL,,http://www.exitstrategybrewing.com/home,kitchen & beer,"-87.81695,41.879395",111754555.0,no,41.879395,-87.81695,no,no,yes,https://untappd.com/ESBC
65,Fbt7,Forbidden Root,1746 W. Chicago Ave.,Chicago,IL,West Town,http://forbiddenroot.com,kitchen & beer,"-87.67113,41.896015",111764903.0,yes,41.896015000000006,-87.67113,no,no,yes,https://untappd.com/ForbiddenRoot
66,Fc.4,Finch Beer Co.,1800 W. Walnut St.,Chicago,IL,Near West Side,http://www.finchbeer.com/,,"-87.67207,41.886055",111765034.0,yes,41.886055,-87.67206999999999,no,no,no,https://untappd.com/finchbeer
67,Fpy4,Flapjack Brewery,6833 Stanley Ave.,Berwyn,IL,,http://www.flapjackbrewery.com,kitchen & beer,"-87.7943,41.83336",111794718.0,no,41.83336,-87.7943,no,no,yes,https://untappd.com/flapjackbrewery
68,Fs.2,Flossmoor Station Brewing Co.,1035 Sterling Ave.,Flossmoor,IL,,http://www.flossmoorstation.com/brewery,kitchen & beer,"-87.67878,41.54344",111709823.0,no,41.543440000000004,-87.67878,no,no,yes,https://untappd.com/FlossmoorBrewCo
69,Fsg2,Flesk Brewing,200 Applebee St. Suite E,Barrington,IL,,http://www.fleskbrewing.com,tap room,"-88.13828,42.155685",119635237.0,no,42.155685,-88.13828000000001,yes,no,no,https://untappd.com/FleskBrewingCompany
70,FSg5,FIBS Brewing,260 Howard Avenue,Des Plaines,IL,,http://www.fibsbrewing.com/,,"-87.91719,42.015827",605628024.0,no,42.015827,-87.91719,no,no,no,
71,Ga.10,Great Central Brewing Co.,221 N Wood St.,Chicago,IL,Near West Side,http://www.chicagobusiness.com/realestate/20150812/CRED03/150819948/two-new-breweries-joining-goose-island-on-near-west-side,tap room,"-88.20681,41.881145",112516102.0,yes,41.881145000000004,-88.20681,yes,no,no,https://untappd.com/GreatCentralBrewingCompany
72,Ge.6,Greenstar Brewing Co.,3800 N. Clark St.,Chicago,IL,Lakeview,http://www.uncommonground.com/pages/beer/27.php,"kitchen & beer, tour","-87.6597,41.951145",111891566.0,yes,41.951145000000004,-87.6597,no,yes,yes,https://untappd.com/GreenstarBrewing
73,Gne10,Granite City Brewery - Naperville,1828 Abriter Ct.,Naperville,IL,,http://www.gcfb.net/locations/il,kitchen & beer,"-88.1293,41.802856",112675914.0,no,41.802856,-88.1293,no,no,yes,https://untappd.com/gcfb
74,Gng10,Granite City Brewery - Schaumburg,801 Plaza Dr.,Schaumburg,IL,,http://www.gcfb.net/locations/il,kitchen & beer,"-88.042885,42.04357",111697901.0,no,42.04357,-88.042885,no,no,yes,https://untappd.com/gcfb
75,Gnk10,Granite City Brewery - Orland Park,14035 S. La Grange Rd.,Orland Park,IL,,http://www.gcfb.net/locations/il,kitchen & beer,"-87.85402,41.63614",638644893.0,no,41.636140000000005,-87.85401999999999,no,no,yes,https://untappd.com/gcfb
76,Go.7,Gino's East Brewing Co.,500 N. LaSalle St.,Chicago,IL,River North,http://ginoseastrivernorth.com/,kitchen & beer,,,yes,,,no,no,yes,https://untappd.com/GinosEast
77,Gs.2,Goose Island Beer Co.,1800 W. Fulton St.,Chicago,IL,Near West Side,http://www.gooseisland.com/,"tap room, tour","-87.6721,41.886852",111765032.0,yes,41.886852000000005,-87.6721,yes,yes,no,https://untappd.com/gooseisland
78,Gse7,Goose Island Brewhouse,1800 N. Clybourn St.,Chicago,IL,Lincoln Park,http://www.gooseislandbrewpubs.com,"kitchen & beer, tour","-87.65356,41.9138",111764661.0,yes,41.9138,-87.65356,no,yes,yes,https://untappd.com/GooseIslandBrewpubs
79,H d7,Hop Butcher for the World,,Darien,IL,,http://www.hopbutcher.com/,,,,no,,,no,no,no,https://untappd.com/HopButcher
80,Hbo3,Hofbräuhaus Chicago,5500 Park Pl.,Rosemont,IL,,http://www.hofbrauhauschicago.com,kitchen & beer,,,no,,,no,no,yes,https://untappd.com/w/staatliches-hofbra-uhaus-ma-1-4-nchen/5566
