,brewID,brewery,address,city,state,neighborhood,website,features,coord,coord2,inChicago,latitude,longitude,hasTapRoom,hasTour,hasKitchen,untappdURL
145,Rke8,Rock Bottom – Warrenville,28256 Diehl Rd.,Warrenville,IL,,http://www.rockbottom.com/locations/warrenville,kitchen & beer,"-88.1635,41.80129",112679547.0,no,41.80129,-88.1635,no,no,yes,https://untappd.com/RockBottom
146,Rkk2,Rock Bottom – Bolingbrook,639 E. Boughton Rd. #100,Bolingbrook,IL,,https://rockbottom.com/locations/bolingbrook/,kitchen & beer,,,no,,,no,no,yes,https://untappd.com/RockBottom
147,Rkk6,Rock Bottom – Orland Park,16156 S. La Grange Rd.,Orland Park,IL,,http://www.rockbottom.com/locations/orland-park,kitchen & beer,"-87.85266,41.59404",111883950.0,no,41.59404,-87.85266,no,no,yes,https://untappd.com/RockBottom
148,Rky6,Rock Bottom Restaurant & Brewery,1 W. Grand Ave.,Chicago,IL,River North,http://www.rockbottom.com/locations/chicago,kitchen & beer,"-87.6282,41.891663",111769012.0,yes,41.891663,-87.6282,no,no,yes,https://untappd.com/RockBottom
149,Rob3,Revolution Brewing – Brewpub,2323 N. Milwaukee Ave.,Chicago,IL,Logan Square,http://revbrew.com/home,"kitchen & beer, tour","-87.69819,41.923428",111762626.0,yes,41.923428,-87.69819,no,yes,yes,https://untappd.com/RevolutionBrewingChicago
150,Rom3,Revolution Brewing – Taproom,3340 N. Kedzie Ave.,Chicago,IL,Avondale,http://revbrew.com/home,"tap room, tour","-87.7077,41.942093",111757318.0,yes,41.942093,-87.7077,yes,yes,no,https://untappd.com/RevolutionBrewingChicago
151,Rrg2,Roaring Table Brewing,739 W Route 22,Lake Zurich,IL,,http://roaringtable.com/,tap room,"-88.08023,42.19746",613797760.0,no,42.19746,-88.08023,yes,no,no,https://untappd.com/RoaringTableBrewing
152,Scb6,Stockholm's Brewpub,306 W. State St.,Geneva,IL,,http://www.stockholmsbrewpub.com,kitchen & beer,"-88.30737,41.88785",119507861.0,no,41.88785,-88.30736999999999,no,no,yes,https://untappd.com/w/stockholms/12082
153,Sey7,Side Lot Brewery,110 Slocum Lake Rd,Wauconda,IL,,http://sidelotbrewing.com/,tap room,"-88.142876,42.2608",119632732.0,no,42.2608,-88.142876,yes,no,no,https://untappd.com/SideLotBrewery
154,Sey8,Solemn Oath Brewery,1661 Quincy Ave. #179,Naperville,IL,,http://solemnoathbrewery.com,tap room,"-88.19403,41.774796",112535408.0,no,41.774796,-88.19403,yes,no,no,https://untappd.com/solemnoathbeer
155,Si.7,Strike Ten Brewing Co.,,Algonquin,IL,,https://www.facebook.com/Strike-Ten-Brewing-Company-LLC-597063563782615/,,,,no,,,no,no,no,
156,Slg10,Scallywag Brewing,,Clarendon Hills,IL,,https://www.scallywagbrewing.com/,,,,no,,,no,no,no,
157,Slg2,Sullers Past Brewing,,Chicago,IL,,https://www.facebook.com/sullerspast/,,,,no,,,no,no,no,https://untappd.com/SullersPast
158,Slg5,Smylie Bros. Brewing,1615 Oak Ave.,Evanston,IL,,http://smyliebros.com,kitchen & beer,"-87.68678,42.047466",605215812.0,no,42.047466,-87.68678,no,no,yes,https://untappd.com/SmylieBrothersBrewingCompany
159,Sly2,Small Town Brewery,1000 Brown St.,Wauconda,IL,,http://smalltownbrewery.com,tour,"-88.151436,42.27461",119632604.0,no,42.274609999999996,-88.151436,no,yes,no,https://untappd.com/SmallTownBrewery
160,Sly9,Skeleton Key Brewery,8 102 Lemont Rd,Woodridge,IL,,http://www.skeletonkeybrewery.com/,tap room,,,no,,,yes,no,no,https://untappd.com/SkeletonKeyBrewery
161,Sng5,Saint John Malt Brothers Brewing,9607 Wicker Ave.,St. John,IN,,http://www.sjmaltbros.com,tap room,,,no,,,yes,no,no,https://untappd.com/SaintJohnMaltBrothers
162,Sng6,Soundgrowler Brewing,8201 183rd St.,Tinley Park,IL,,http://www.soundgrowler.com/home,kitchen & beer,"-87.81752,41.557327",641702678.0,no,41.557327,-87.81752,no,no,yes,https://untappd.com/SoundgrowlerBrewingCo
163,Snt3,Saint Errant,,Elk Grove Village,IL,,https://www.facebook.com/SaintErrantBrewing/,,,,no,,,no,no,no,https://untappd.com/SaintErrant
164,Sps2,Stupid Hare Brews,,Elk Grove Village,IL,,http://shbrew.com/,,,,no,,,no,no,no,https://untappd.com/StupidHareBrews
165,Sr.6,Scorched Earth Brewing Co.,203 Berg St.,Algonquin,IL,,http://scorchedearthbrewing.com,tap room,"-88.30316,42.171375",119825620.0,no,42.171375,-88.30315999999999,yes,no,no,https://untappd.com/ScorchedEarthBrewing
166,Sr.7,Short Fuse Brewing Co.,5000 N. River Rd,Schiller Park,IL,,http://www.shortfusebrewing.com/,kitchen & beer,"-87.86179,41.969795",641756807.0,no,41.969795,-87.86179,no,no,yes,https://untappd.com/ShortFuseBrewing
167,Stg10,Sketchbook Brewing,825 Chicago Ave.,Evanston,IL,,http://www.sketchbookbrewing.com,tap room,"-87.67917,42.032955",111744984.0,no,42.032955,-87.67917,yes,no,no,https://untappd.com/Sketchbook
168,Stg6,Spiteful Brewing,2050 W. Balmoral Ave.,Chicago,IL,Bowmanville,http://spitefulbrewing.com,tap room,"-87.68086,41.979652",605185676.0,yes,41.979652,-87.68086,yes,no,no,https://untappd.com/spitefulbrewing
169,T .6,The Devil's Trumpet Brewing Co.,8250 Utah St.,Merrillville,IN,,http://thedevilstrumpet.com/home.html,tap room,"-87.29094,41.470486",607012861.0,no,41.470486,-87.29094,yes,no,no,https://untappd.com/TheDevilsTrumpetBrewery
170,T e8,Two Brothers Roundhouse,205 N. Broadway,Aurora,IL,,http://www.twobrothersbrewing.com/roundhouse/,kitchen & beer,"-88.309616,41.761177",119583363.0,no,41.761177,-88.309616,no,no,yes,https://untappd.com/TwoBrothersBrewing
171,T g6,Two Brothers Brewing,30W315 Calumet Ave. W.,Warrenville,IL,,http://www.twobrothersbrewing.com,"kitchen & beer, tour","-88.21161,41.824913",112526025.0,no,41.824913,-88.21161,no,yes,yes,https://untappd.com/TwoBrothersBrewing
172,T g7,Ten Ninety Brewing,1025 N Waukegan Rd.,Glenview,IL,,http://www.ten-ninety.com/,kitchen & beer,"-87.79883,42.07362",111734091.0,no,42.07362,-87.79883000000001,no,no,yes,https://untappd.com/TenNinetyBrewingCo
173,T k2,The Lucky Monk,105 Hollywood Blvd.,South Barrington,IL,,http://www.theluckymonk.com,kitchen & beer,"-88.145584,42.071163",112368600.0,no,42.071163,-88.145584,no,no,yes,https://untappd.com/TheLuckyMonk
174,Tbe7,Tribes Alehouse,11220 W. Lincoln Hwy.,Mokena,IL,,http://www.tribesalehouse.com/locations/,kitchen & beer,"-87.88956,41.50348",111549982.0,no,41.503479999999996,-87.88956,no,no,yes,https://untappd.com/TribesBeerCompany
175,Th.5,Tighthead Brewing Co.,161 N. Archer Ave.,Mundelein,IL,,http://www.tightheadbrewing.com,tap room,"-88.00128,42.266468",119638152.0,no,42.266467999999996,-88.00128000000001,yes,no,no,https://untappd.com/TightheadBrewingCompany
176,Ti.3,Trail's Edge Brewing Co.,20 Kansas St,Frankfort,IL,,http://trailsedgebrewery.com/,kitchen & beer,"-87.85024,41.49847",111550914.0,no,41.498470000000005,-87.85024,no,no,yes,https://untappd.com/TrailsEdgeBrewingCo
177,Tp.7,Temperance Beer Co.,2000 Dempster St.,Evanston,IL,,http://temperancebeer.com,"tap room, tour","-87.700836,42.041092",636324642.0,no,42.041092,-87.700836,yes,yes,no,https://untappd.com/TemperanceBeer
178,Ts.10,Twisted Hippo Brewing Co.,2925 W. Montrose Ave.,Chicago,IL,Albany Park,http://rudehippo.com,,"-87.70204,41.961224",605156425.0,yes,41.961224,-87.70204,no,no,no,https://untappd.com/TwistedHippo
179,U y10,Une Année / Hubbard's Cave Brewery,9082 W. Golf Rd.,Niles,IL,,http://uneannee.com,tap room,"-87.85204,42.05421",605003779.0,no,42.05421,-87.85204,yes,no,no,https://untappd.com/uneannee
180,Uay9,Urban Renewal Brewery,5121 N. Ravenswood Ave.,Chicago,IL,Ravenswood,https://urbanrenewbrew.com/,,"-87.67437,41.974895",111761166.0,yes,41.974895000000004,-87.67437,no,no,no,https://untappd.com/UrbanRenewBrewery
181,Veg4,Vice District Brewing,18022 Dixie Hwy.,Homewood,IL,,http://www.vicedistrictbrewing.com/,,"-87.66542,41.561996",111709618.0,no,41.561996,-87.66542,no,no,no,https://untappd.com/ViceDistrictBrewing
182,Vey1,Veteran Beer Company,320 W. Ohio St.,Chicago,IL,River North,http://www.veteranbeercompany.com,,"-87.63597,41.89237",111768528.0,yes,41.89237,-87.63597,no,no,no,https://untappd.com/VeteranBeerCompany
183,Vly4,Village Vintner Winery & Brewery,2380 Esplanade Dr.,Algonquin,IL,,http://thevillagevintner.com,kitchen & beer,"-88.33827,42.144173",618430351.0,no,42.144172999999995,-88.33827,no,no,yes,https://untappd.com/VillageVintner
184,Wdg3,Windmill Brewing,2121 Gettler St,Dyer,IN,,https://www.facebook.com/WindmillBrewing,tap room,"-87.52281,41.493637",606275342.0,no,41.493637,-87.52280999999999,yes,no,no,https://untappd.com/WindmillBrewing
185,Wdg4,Wildrose Brewing,1104 E. Main St.,Griffith,IN,,https://twitter.com/wildrosebrewing,kitchen & beer,"-87.41548,41.522682",98429805.0,no,41.522682,-87.41548,no,no,yes,https://untappd.com/Wildrosebrewing
186,Wdy6,Wild Onion Pub & Brewery,22221 N. Pepper Rd.,Lake Barrington,IL,,http://www.onionbrewery.com,kitchen & beer,"-88.1848,42.18627",119700822.0,no,42.18627,-88.1848,no,no,yes,https://untappd.com/wildonion
187,Wfg7,Wolfden Brewing,,Bloomingdale,IL,,http://www.wolfdenbrewing.com/,,,,no,,,no,no,no,https://untappd.com/WolfdenBrewingCompany
188,Wg.4,Woggly Square Brewing Co.,,Tinley Park,IL,,https://www.wogglysquare.com/,,,,no,,,no,no,no,https://untappd.com/w/woggly-square-brewing/382879
189,Wke3,Werk Force,14903 S. Center St.,Plainfield,IL,,http://www.werkforcebrewing.com,tap room,"-88.19836,41.612087",111533859.0,no,41.612087,-88.19836,yes,no,no,https://untappd.com/WerkForceBrewingCompany
190,Wl.3,Will County Brewing Co.,1142 W Jefferson St.,Shorewood,IL,,https://www.willcountybrew.com/home-1.html,tap room,"-88.209206,41.521442",111597295.0,no,41.521442,-88.20920600000001,yes,no,no,https://untappd.com/WillCountyBrewingCo
191,Wny1,Whiner Brewery,,,,,http://www.plantchicago.com,,,,,,,no,no,no,
192,Zmr4,ZümBier,,,,,http://zumbier.com,,,,,,,no,no,no,https://untappd.com/ZumBierBrewer
